425, количество городов (предел 1500);
Gorod;tн1;tн2;tн3;n
Марково (Иркутская обл.);-49;-27.8;-12.3;250 
Наканно (Иркутская обл.);-54;-35.1;-16.5;268 
Невон (Иркутская обл.);-48;-24.9;-11.1;253 
Непа (Иркутская обл.);-50;-27.9;-12.9;261 
Орлинга (Иркутская обл.);-46;-26.7;-11.6;253 
Перевоз (Иркутская обл.);-46;-26.5;-12.4;262 
Преображенка (Иркутская обл.);-50;-29.2;-13.3;259 
Слюдянка (Иркутская обл.);-28;-17.4;-6.4;254 
Тайшет (Иркутская обл.);-40;-19.5;-8.3;240 
Тулун (Иркутская обл.);-40;-21.5;-9;247 
Усть-Ордынский - Бурятский АО (Иркутская обл.);-41;-24.8;-10.9;243 
Нальчик (р. Кабардино-Балкария);-18;-4.0;0.6;168 
Калининград (Калининградская обл.);-19;-3.1;1.1;193 
Элиста (р. Калмыкия - Хальмг Тангч);-23;-6.8;-1.2;173 
Калуга (Калужская обл.);-27;-10.1;-2.9;210 
Апука - Корякский АО (Камчатская обл.);-29;-10.9;-5.1;300 
Ича - Корякский АО (Камчатская обл.);-25;-12.0;-3.8;282 
Ключи (Камчатская обл.);-35;-16.1;-6.3;257 
Козыревск (Камчатская обл.);-37;-17.9;-7.3;256 
Корф - Корякский АО (Камчатская обл.);-30;-13.6;-6.9;281 
Лопатка. мыс (Камчатская обл.);-13;-5.1;0;306 
Мильково (Камчатская обл.);-38;-19.9;-8.3;256 
Начики (Камчатская обл.);-36;-18.3;-7.0;280 
о. Беринга (Камчатская обл.);-11;-3.5;0.4;292 
Оссора - Корякский АО (Камчатская обл.);-31;-13.3;-6;281 
Петропавловск-Камчатский (Камчатская обл.);-20;-7.5;1.6;259 
Семлячики (Камчатская обл.);-16;-6.3;1.2;267 
Соболево (Камчатская обл.);-30;-14.0;-4.8;275 
Кроноки (Камчатская обл.);-20;-8.5;-2.2;280 
Ука (Камчатская обл.);-34;-15.8;-6.7;281 
Октябрьская (Камчатская обл.);-25;-12.1;-3.5;281 
Усть-Воямполка - Корякский АО (Камчатская обл.);-35;-16.8;-6.2;295 
Усть-Камчатск (Камчатская обл.);-28;-11.4;-4;277 
Усть-Хайрюзово (Камчатская обл.);-31;-14.2;-5.2;278 
Черкесск (р. Карачаево-Черкессия);-18;-4.4;0.6;169 
Кемь (р. Карелия);-27;-10.6;-3.2;258 
Лоухи (р. Карелия);-31;-12.1;-4.2;261 
Олонец (р. Карелия);-29;-10.3;-3.2;233 
Паданы (р. Карелия);-29;-11.0;-3.5;251 
Петрозаводск (р. Карелия);-29;-11.1;-3.1;240 
Реболы (р. Карелия);-32;-11.9;-4;251 
Кемерово (Кемеровская обл.);-39;-18.8;-8.3;231 
Киселевск (Кемеровская обл.);-39;-17.2;-7.3;227 
Кондома (Кемеровская обл.);-40;-19.1;-7.8;236 
Мариинск (Кемеровская обл.);-40;-17.8;-7.7;235 
Тайга (Кемеровская обл.);-39;-18.8;-8.3;240 
Тисуль (Кемеровская обл.);-40;-17.4;-7.3;236 
Топки (Кемеровская обл.);-39;-18.2;-8.2;235 
Усть-Кабырза (Кемеровская обл.);-41;-22.1;-9;241 
Вятка (Кировская обл.);-33;-14.4;-5.4;231 
Нагорское (Кировская обл.);-34;-14.9;-5.8;239 
Савали (Кировская обл.);-33;-14.0;-5.7;220 
Вендинга (р. Коми);-39;-15.8;-5.9;257 
Воркута (р. Коми);-41;-20.3;-9.1;306 
Объячево (р. Коми);-34;-14.9;-5.3;239 
Петрунь (р. Коми);-43;-19.7;-8.6;286 
Печора (р. Коми);-43;-19.5;-7.9;270 
Сыктывкар (р. Коми);-36;-15.6;-5.8;245 
Троицко-Печорск (р. Коми);-41;-18.0;-6.9;258 
Усть-Уса (р. Коми);-41;-18.4;-7.6;279 
Усть-Цильма (р. Коми);-39;-17.3;-6.6;272 
Усть-Щугор (р. Коми);-45;-19.7;-7.9;268 
Ухта (р. Коми);-39;-17.3;-6.4;261 
Кострома (Костромская обл.);-31;-11.8;-3.9;222 
Чухлома (Костромская обл.);-32;-12.8;-4.3;230 
Шарья (Костромская обл.);-32;-13.0;-4.7;228 
Краснодар (Краснодарский край);-19;-1.6;2;149 
Сочи (Краснодарский край);-3;5.9;6.4;72 
Тихорецк (Краснодарский край);-22;-3.5;1.1;158 
Агата (Красноярский край);-53;-34.6;-16.3;293 
Ачинск (Красноярский край);-41;-17.7;-7.6;237 
Байкит - Эвенкийский АО (Красноярский край);-50;-30.9;-13.9;267 
Боготол (Красноярский край);-39;-17.4;-7.6;239 
Богучаны (Красноярский край);-46;-24.4;-10.8;245 
Ванавара - Эвенкийский АО (Красноярский край);-51;-29.8;-13.7;262 
Вельмо (Красноярский край);-49;-27.6;-12.5;264 
Верхнеимбатск (Красноярский край);-48;-24.7;-11.5;266 
Волочанка (Красноярский край);-50;-31.2;-16.1;306 
Диксон - Таймырский АО (Красноярский край);-41;-25.6;-11.4;365 
Дудинка - Таймырский АО (Красноярский край);-47;-28.0;-14.3;303 
Енисейск (Красноярский край);-46;-22.0;-9.6;245 
Ессей - Эвенкийский АО (Красноярский край);-55;-36.0;-17.7;298 
Игарка (Красноярский край);-49;-28.1;-13.9;285 
